card_name,db_name,gw_sku,faction,include
Tech-Priest Dominus,Adeptus Mechanicus Tech-Priest Dominus,59-06,Adeptus Mechanicus,Yes
Skitarii Rangers,Adeptus Mechanicus Skitarii Rangers,59-10,Adeptus Mechanicus,Yes
Skitarii Vanguard,Adeptus Mechanicus Skitarii Vanguard,59-11,Adeptus Mechanicus,Yes
Electropriests,Adeptus Mechanicus Electropriests,59-20,Adeptus Mechanicus,Yes
Kataphron Destroyers,Adeptus Mechanicus Kataphron Destroyers,59-18,Adeptus Mechanicus,Yes
Ironstrider Ballistarii,Adeptus Mechanicus Ironstrider Ballistarii,59-14,Adeptus Mechanicus,Yes
Dunecrawler,Adeptus Mechanicus Dunecrawler,59-16,Adeptus Mechanicus,Yes
Adeptus Mechanicus Combat Patrol,Adeptus Mechanicus Combat Patrol,59-25,Adeptus Mechanicus,
